Year,Month,avgtemp,cloud_cover,diurnal_temperature_range,ground_frost_frequency,maxtemp,mintemp,potentialevapotranspiration,precipitation,Reference_crop_evapotranspiration,vapour_pressure,wet_day_frequency
1930,Jan,23.811999999999998,26.594,9.318,0.1447,28.476999999999997,19.147000000000002,5.35,24.156999999999996,26.594,22.346999999999998,3.2651
1931,Jan,24.211,25.180999999999997,9.318,0.1235,28.877,19.559,5.4,2.273,25.180999999999997,22.147,0.8608
1932,Jan,23.624000000000002,23.482,9.318,0.31,28.288,18.97,5.4,0.023,23.482,21.97,0.0235
1933,Jan,24.211,26.594,9.318,0.0035,28.877,19.559,5.37,2.128,26.594,22.47,1.1889
1934,Jan,24.1,27.717,9.318,0.3024,28.764,19.447,5.36,44.001999999999995,27.717,22.058000000000003,2.1699
1935,Jan,23.9,27.916999999999998,9.318,0.0624,28.565,19.235,5.32,18.938,27.916999999999998,22.47,2.3769
1936,Jan,24.412,26.594,9.318,0.0,29.076,19.758,5.35,1.229,26.594,22.358,1.1387
1937,Jan,24.112,26.594,9.318,0.0265,28.776,19.459,5.35,3.457,26.594,22.47,1.1494
1938,Jan,24.123,25.093000000000004,9.318,0.0,28.788,19.471,5.35,0.023,25.093000000000004,22.47,0.0235
1939,Jan,23.712,26.594,9.318,0.3024,28.375999999999998,19.058,5.36,23.186,26.594,22.147,1.9481
1940,Jan,23.111,24.005,9.318,0.5188,27.776999999999997,18.459,5.4,1.1,24.005,21.258000000000003,1.0547
1941,Jan,24.611,27.694000000000003,9.318,0.0,29.276999999999997,19.959,5.34,28.11,27.694000000000003,22.47,1.7816
1942,Jan,24.112,25.093000000000004,9.318,0.0012,28.776,19.459,5.38,0.023,25.093000000000004,22.47,0.0235
1943,Jan,24.311999999999998,27.393,9.318,0.0,28.976999999999997,19.647000000000002,5.38,28.06,27.393,22.47,2.3516
1944,Jan,24.4,26.594,9.318,0.0,29.065,19.735,5.35,10.952,26.594,22.47,1.7634
1945,Jan,23.811999999999998,25.394000000000002,9.318,0.2159,28.476999999999997,19.147000000000002,5.35,0.023,25.394000000000002,22.058000000000003,0.0235
1946,Jan,23.123,25.093000000000004,9.318,0.5723,27.788,18.471,5.35,21.33,25.093000000000004,21.258000000000003,1.9382
1947,Jan,24.7,29.428,9.318,0.0,29.365,20.047,5.35,53.494,29.428,22.47,2.4387
1948,Jan,24.3,27.694000000000003,9.318,0.0,28.965,19.647000000000002,5.33,24.539,27.694000000000003,22.47,1.8375
1949,Jan,23.612,23.905,9.318,0.3012,28.276,18.958,5.4,0.47600000000000003,23.905,22.147,0.4765
1950,Jan,23.212,24.329,9.318,0.3,27.875999999999998,18.559,5.35,3.951,24.329,22.259,1.0547
1951,Jan,23.712,26.905,9.318,0.1635,28.375999999999998,19.058,5.36,0.853,26.905,22.47,0.8531
1952,Jan,24.4,19.429000000000002,9.318,0.0,29.065,19.735,5.49,0.47600000000000003,19.429000000000002,22.47,0.4765
1953,Jan,24.336,28.57,9.318,0.0612,29.0,19.682000000000002,5.33,4.43,28.57,22.47,1.0752
1954,Jan,24.112,27.093000000000004,9.318,0.0,28.776,19.459,5.32,38.9,27.093000000000004,22.47,2.3116
1955,Jan,24.011999999999997,28.893,9.318,0.0,28.676,19.358,5.31,52.83,28.893,22.47,2.1182
1956,Jan,23.7,27.694000000000003,9.318,0.2524,28.364,19.046,5.32,17.811,27.694000000000003,22.47,2.083
1957,Jan,23.9,27.694000000000003,9.318,0.1223,28.565,19.235,5.31,0.023,27.694000000000003,22.47,0.0235
1958,Jan,24.5,26.594,9.318,0.0,29.165,19.847,5.35,1.695,26.594,22.47,1.6944
1959,Jan,24.611,27.694000000000003,9.318,0.0,29.276999999999997,19.959,5.33,0.441,27.694000000000003,22.47,0.3927
1960,Jan,24.211,27.694000000000003,9.318,0.0,28.877,19.559,5.34,12.258,27.694000000000003,22.47,1.2794
1961,Jan,24.511999999999997,33.294000000000004,9.318,0.0,29.177,19.859,5.23,33.411,33.294000000000004,22.47,2.397
1962,Jan,23.511,26.728,9.318,0.3112,28.177,18.859,5.31,2.398,26.728,22.458000000000002,1.0629
1963,Jan,23.612,30.741,9.318,0.3488,28.276,18.958,5.28,54.708999999999996,30.741,22.47,2.8763
1964,Jan,23.923000000000002,22.605,9.318,0.0,28.588,19.27,5.41,0.023,22.605,22.47,0.0235
1965,Jan,24.112,25.093000000000004,9.318,0.1041,28.776,19.459,5.36,6.454,25.093000000000004,22.47,1.52
1966,Jan,24.8,28.893,9.318,0.0,29.464000000000002,20.147000000000002,5.33,33.574,28.893,22.47,1.964
1967,Jan,24.211,25.87,9.318,0.0324,28.877,19.559,5.37,20.552,25.87,22.47,3.0881
1968,Jan,23.788,27.694000000000003,9.318,0.2159,28.453000000000003,19.135,5.32,0.2,27.694000000000003,22.458000000000002,0.2
1969,Jan,23.712,24.705,9.318,0.1912,28.375999999999998,19.058,5.36,0.47600000000000003,24.705,22.458000000000002,0.4765
1970,Jan,24.4,27.694000000000003,9.318,0.0,29.065,19.735,5.33,0.46399999999999997,27.694000000000003,22.47,0.4648
1971,Jan,24.0,27.729,9.318,0.14,28.665,19.347,5.28,13.259,27.729,22.47,1.9429
1972,Jan,23.111,22.864,9.318,0.4077,27.776999999999997,18.459,5.36,8.681000000000001,22.864,21.17,1.0547
1973,Jan,24.6,23.680999999999997,9.318,0.0,29.265,19.947,5.41,0.2,23.680999999999997,22.47,0.2
1974,Jan,23.1,25.093000000000004,9.318,0.3047,27.765,18.447,5.34,8.775,25.093000000000004,22.47,1.0547
1975,Jan,23.9,25.093000000000004,9.318,0.2011,28.565,19.235,5.34,8.198,25.093000000000004,22.47,1.0882
1976,Jan,23.123,26.97,9.318,0.4512,27.788,18.471,5.31,6.035,26.97,21.182,1.0547
1977,Jan,23.9,22.281,9.318,0.0788,28.565,19.235,5.43,0.376,22.281,22.47,0.3766
1978,Jan,24.311999999999998,28.712,9.318,0.0,28.976999999999997,19.647000000000002,5.31,9.125,28.712,22.47,1.2605
1979,Jan,24.611,32.058,9.318,0.0,29.276999999999997,19.959,5.24,0.9940000000000001,32.058,22.47,0.9503
1980,Jan,24.523000000000003,24.180999999999997,9.318,0.0,29.189,19.871,5.42,0.547,24.180999999999997,22.47,0.5469
1981,Jan,24.4,26.781,9.318,0.0,29.065,19.735,5.38,35.416,26.781,22.47,2.4729
